ES0701020001	ES070MSPF001020001
ES0702120005	ES070MSPF002120005
ES0702150006	ES070MSPF002150006
ES0702150007	ES070MSPF002150007
ES0702120001	ES070MSPF002120001
ES0702050102	ES070MSPF002050102
ES0702050105	ES070MSPF002050105
ES0702050108	ES070MSPF002050108
ES0702050112	ES070MSPF002050112
ES0702050202	ES070MSPF002050202
ES0702050204	ES070MSPF002050204
ES0702050305	ES070MSPF002050305
ES0702051102	ES070MSPF002051102
ES0702051603	ES070MSPF002051603
ES0702051902	ES070MSPF002051902
ES0702052003	ES070MSPF002052003
ES0702052302	ES070MSPF002052302
ES0702052502	ES070MSPF002052502
ES0702050208	ES070MSPF002050208
ES0702052305	ES070MSPF002052305
ES0703190001	ES070MSPF003190001
ES0703190002	ES070MSPF003190002
ES0703190003	ES070MSPF003190003
ES0701010101	ES070MSPF001010101
ES0701010103	ES070MSPF001010103
ES0701010104	ES070MSPF001010104
ES0701010106	ES070MSPF001010106
ES0701010107	ES070MSPF001010107
ES0701010109	ES070MSPF001010109
ES0701010110	ES070MSPF001010110
ES0701010111	ES070MSPF001010111
ES0701010113	ES070MSPF001010113
ES0701010114	ES070MSPF001010114
ES0701010201	ES070MSPF001010201
ES0701010203	ES070MSPF001010203
ES0701010205	ES070MSPF001010205
ES0701010206	ES070MSPF001010206
ES0701010207	ES070MSPF001010207
ES0701010209	ES070MSPF001010209
ES0701010301	ES070MSPF001010301
ES0701010302	ES070MSPF001010302
ES0701010304	ES070MSPF001010304
ES0701010306	ES070MSPF001010306
ES0701010401	ES070MSPF001010401
ES0701010501	ES070MSPF001010501
ES0701010601	ES070MSPF001010601
ES0701010701	ES070MSPF001010701
ES0701010702	ES070MSPF001010702
ES0701010801	ES070MSPF001010801
ES0701010901	ES070MSPF001010901
ES0701011001	ES070MSPF001011001
ES0701011101	ES070MSPF001011101
ES0701011103	ES070MSPF001011103
ES0701011104	ES070MSPF001011104
ES0701011201	ES070MSPF001011201
ES0701011301	ES070MSPF001011301
ES0701011401	ES070MSPF001011401
ES0701011501	ES070MSPF001011501
ES0701011701	ES070MSPF001011701
ES0701011702	ES070MSPF001011702
ES0701011801	ES070MSPF001011801
ES0701011802	ES070MSPF001011802
ES0701011803	ES070MSPF001011803
ES0701011804	ES070MSPF001011804
ES0701011901	ES070MSPF001011901
ES0701011903	ES070MSPF001011903
ES0701012001	ES070MSPF001012001
ES0701012002	ES070MSPF001012002
ES0701012004	ES070MSPF001012004
ES0701012101	ES070MSPF001012101
ES0701012102	ES070MSPF001012102
ES0701012103	ES070MSPF001012103
ES0701012201	ES070MSPF001012201
ES0701012202	ES070MSPF001012202
ES0701012203	ES070MSPF001012203
ES0701012301	ES070MSPF001012301
ES0701012303	ES070MSPF001012303
ES0701012304	ES070MSPF001012304
ES0701012306	ES070MSPF001012306
ES0701012307	ES070MSPF001012307
ES0701012401	ES070MSPF001012401
ES0701012501	ES070MSPF001012501
ES0701012601	ES070MSPF001012601
ES0701012602	ES070MSPF001012602
ES0701012701	ES070MSPF001012701
ES0701012801	ES070MSPF001012801
ES0701012901	ES070MSPF001012901
ES0701012902	ES070MSPF001012902
ES0701013001	ES070MSPF001013001
ES0701013101	ES070MSPF001013101
ES0701013201	ES070MSPF001013201
ES0701013202	ES070MSPF001013202
ES0702100001	ES070MSPF002100001
ES0702120002	ES070MSPF002120002
ES0702080115	ES070MSPF002080115
ES0702080116	ES070MSPF002080116
ES0702080210	ES070MSPF002080210
ES0702081601	ES070MSPF002081601
ES0702081703	ES070MSPF002081703
ES0702082503	ES070MSPF002082503
ES0701030001	ES070MSPF010300010
ES0701030002	ES070MSPF010300020
ES0701030003	ES070MSPF010300030
ES0701030004	ES070MSPF010300040
ES0701030005	ES070MSPF010300050
ES0701030006	ES070MSPF010300060
ES0701030007	ES070MSPF010300070
ES0701030008	ES070MSPF010300080
ES0701030009	ES070MSPF010300090
ES0701030010	ES070MSPF010300100
ES0701030011	ES070MSPF010300110
ES0701030012	ES070MSPF010300120
ES0701030013	ES070MSPF010300130
ES0701030014	ES070MSPF010300140
\.


