uda,hm3,cost
UDA01,0,0
UDA01,0.193080783745325,2799161.45987528
UDA01,0.542198337852602,5528942.70616198
UDA01,1.04735266232183,8258723.95244868
UDA01,1.72454879314256,10961885.6383877
UDA01,3.22024283438519,12901024.4978655
UDA01,5.58070204051179,14465303.5131798
UDA01,8.51329812638826,16029582.5284941
UDA01,12.0180310920146,17593861.5438083
UDA01,14.52,18579441.5271804
UDA02,0,0
UDA02,0.028868820346292,1729384.67065612
UDA02,0.115470782231368,3458769.32658398
UDA02,0.259812634385928,5188153.9972401
UDA02,0.46189212723307,6917538.65316795
UDA02,0.721709260772796,8646923.32382407
UDA02,1.03925053754371,10061501.2305794
UDA02,1.4145407028917,11053771.1170597
UDA02,2.3227511364853,12045068.7908679
UDA02,3.5657391050508,13036078.6596795
UDA02,5.02042575728404,14027088.528491
UDA02,6.68683583853091,15018098.3825743
UDA02,8.56492210767653,16009108.2513859
UDA02,10.0859015415497,16972203.6276998
UDA02,11.2449915396628,17913149.2127542
UDA02,12.4588317403465,18854094.7978087
UDA02,13.7274221436008,19795040.3828631
UDA02,15.0507627494257,20735985.9679176
UDA02,16.4288535578211,21461858.7716786
UDA02,17.8591727930831,22148934.3101452
UDA02,19.21,22716836.5278371
UDA03,0,0
UDA03,0.023217151415791,1371671.56468792
UDA03,0.092294206482427,2725330.22858905
UDA03,0.20723116519991,4078988.89249019
UDA03,0.368028027568238,5432647.56662879
UDA03,0.574684793587413,6786306.23052993
UDA03,0.827201463257433,8139964.89443106
UDA03,1.1255780365783,9493623.55833219
UDA03,1.46981451355001,10847282.2222333
UDA03,1.85991089417257,12200940.8861345
UDA03,2.29585131106529,13554599.5602731
UDA03,2.77766591225147,14908258.2241742
UDA03,3.3053404170885,16261916.8880753
UDA03,3.87887482557638,17615575.5519765
UDA03,4.4982691377151,18969234.2158776
UDA03,5.16352335350466,20322892.8900162
UDA03,5.87463747294507,21676551.5539173
UDA03,6.63161149603633,23030210.2178185
UDA03,7.43444542277844,24383868.8817196
UDA03,8.28313925317138,25737527.5456207
UDA03,9.17769298721518,27091186.2095219
UDA03,10.1180733034104,28444844.8836605
UDA03,11.6197304765156,29729680.1482574
UDA03,13.5982103728441,30965448.4589074
UDA03,15.1444501254552,31935047.6198845
UDA03,16.348717676318,32711737.0210649
UDA03,17.598803875642,33488426.4222453
UDA03,18.8947896470685,34265115.8234256
UDA03,20.2366353221458,35041805.2143685
UDA03,21.624340900874,35818494.6155488
UDA03,23.057906383253,36595184.0167292
UDA03,24.5373317692829,37371873.4076721
UDA03,24.64,37418383.7985487
UDA04,0,0
UDA04,0.008287727819417,611407.952819316
UDA04,0.033150911277669,1222815.90563863
UDA04,0.074589550374754,1834223.85845795
UDA04,0.132603645110674,2445631.81127726
UDA04,0.207193195485429,3057039.76409658
UDA04,0.298358201499017,3668447.71691589
UDA04,0.40609866315144,4279855.66973521
UDA04,0.530414580442697,4891263.62255453
UDA04,0.671305953372789,5502671.57537384
UDA04,0.828772781941715,6114079.52819316
UDA04,1.00281506614947,6725487.48101247
UDA04,1.19343280599607,7336895.43383179
UDA04,1.4006260014815,7948303.3866511
UDA04,1.62439465260576,8559711.33947042
UDA04,1.86473875936886,9171119.29228974
UDA04,2.12165832177079,9782527.24510905
UDA04,2.39515333981156,10393935.1979284
UDA04,2.68522381349116,11005343.1507477
UDA04,2.99186974280959,11616751.103567
UDA04,3.31509112776686,12228159.0563863
UDA04,3.65488796836296,12839567.0092056
UDA04,4.0112602645979,13450974.9620249
UDA04,4.38420801647167,14062382.9148443
UDA04,4.77373122398428,14673790.8676636
UDA04,5.17982988713572,15285198.8204829
UDA04,5.60250400592599,15896606.7733022
UDA04,6.0417535803551,16508014.7261215
UDA04,6.49757861042304,17119422.6789408
UDA04,7.21898322070803,17698303.6438187
UDA04,7.71654551117703,18049111.4856003
UDA04,8.23068325728486,18399919.3273818
UDA04,8.75049349265576,18736340.6854104
UDA04,9.28333256236373,19069003.3031399
UDA04,9.83184727726156,19401665.9102629
UDA04,10.3948365745716,19730203.759617
UDA04,10.9523033510268,19986281.477633
UDA04,11.5174750833293,20165834.9435316
UDA04,12.0677078573592,20336918.5770219
UDA04,12.6304656244953,20508002.1999059
UDA04,13.2057970586945,20679085.8333962
UDA04,13.7937560959634,20850169.4562801
UDA04,14.3942361798013,21021253.0791641
UDA04,15.0066111263286,21192183.3754218
UDA04,15.6,21354619.1030798
UDA05,0,0
UDA05,0.024953610305325,1462605.62720782
UDA05,0.0998144412213,2925211.26468741
UDA05,0.287431532454724,4326705.47724877
UDA05,0.657728549638826,5661932.54915743
UDA05,1.16526882000586,6997159.61079431
UDA05,1.81005234355582,8332386.68270296
UDA05,2.40568549677557,9365157.10590381
UDA05,2.94898373590039,10204357.0534152
UDA05,4.07414750852504,11042610.435636
UDA05,5.44178558624735,11880744.7370834
UDA05,6.99241466821358,12718879.0385309
UDA05,7.89,13163841.1383587
UDA06,0,0
UDA06,0.071215755594232,375987.251267597
UDA06,0.315249757465245,735072.558762141
UDA06,0.732102005613037,1094157.85762453
UDA06,0.85,1175143.93161485
UDA07,0,0
UDA07,0.295814797636449,4728326.63164663
UDA07,1.00622215687358,8066630.45999901
UDA07,2.52664713519842,11324606.3572719
UDA07,4.72528138011529,14582582.2545447
UDA07,7.6021248916242,17840558.1518176
UDA07,10.8412618497632,20886131.633105
UDA07,13.7852413396575,23283767.8094514
UDA07,16.765368422324,25137478.40104
UDA07,19.9134348789293,26959549.5905997
UDA07,23.2953669808268,28781620.7801594
UDA07,26.9111647280165,30603691.9697191
UDA07,33.4081973889543,32372764.7062354
UDA07,42.0700753545603,34114309.9006667
UDA07,51.6361623744546,35855855.0950981
UDA07,57.43,36598360.4625467
UDA08,0,0
UDA08,0.030847707907816,171058.521735853
UDA08,0.068495053218666,342117.043471706
UDA08,0.112942035932551,513175.565207559
UDA08,0.164188656049472,684234.086943411
UDA08,0.222234913569427,855292.608679264
UDA08,0.295441018414182,997221.622991571
UDA08,0.377946023417531,1111665.93908889
UDA08,0.451052392424623,1195927.65590176
UDA08,0.507433941477701,1280014.25453818
UDA08,0.563815490530778,1352567.57505219
UDA08,0.620197039583856,1418975.84440568
UDA08,0.676578588636934,1485384.10486812
UDA08,0.732960137690012,1550863.73931817
UDA08,0.78934168674309,1615205.0967302
UDA08,0.883366180996533,1665930.87366593
UDA08,0.980931297487018,1711176.94359724
UDA08,1.08240811219879,1756120.65549511
UDA08,1.18692100314531,1800649.55532339
UDA08,1.29591613997269,1845165.98989562
UDA08,1.40944339059977,1889682.42446784
UDA08,1.52753355579993,1934198.85904006
UDA08,1.65012650072989,1978715.29361228
UDA08,1.78018643315313,2021784.30034868
UDA08,1.90922553994381,2063916.29680988
UDA08,2.04366798241025,2105577.09414447
UDA08,2.18318815237653,2146957.65438505
