water_body,variable,typology,max_oct_dic,max_ene_mar,max_abr_jun,max_jul_sep,min_oct_dic,min_ene_mar,min_abr_jun,min_jul_sep
ES0702052302,01E01C12,N,,,,,,,,
ES0702052302,01E01B01,V,5.25,4.9,5.6,6.3,1.05,1.4,1.75,1.4
ES0702052302,01E01Q24,D,,,,,,,,
ES0702052302,01E01Q97,A,,,,,,,,
ES0702052302,01E01S01,S,,,,,,,,
ES0702052502,01E02C12,N,,,,,,,,
ES0702052502,01E02B01,V,19.5,18.2,20.8,23.4,3.9,5.2,6.5,5.2
ES0702052502,01E02Q22,D,,,,,,,,
ES0702052502,01E02Q97,A,,,,,,,,
ES0702052502,01E02S01,S,,,,,,,,
ES0703190003,01E05C12,N,,,,,,,,
ES0703190003,01E05B01,V,33.75,31.5,36,40.5,6.75,9,11.25,9
ES0703190003,01E05Q05,D,,,,,,,,
ES0703190003,01E05Q97,A,,,,,,,,
ES0703190003,01E05S01,S,,,,,,,,
ES0702050105,04S02C12,N,,,,,,,,
ES0702050105,04S02B01,V,157.5,147,168,189,31.5,42,52.5,42
ES0702050105,04A03Q01,D,,,,,,,,
ES0702050105,04S02Q97,A,,,,,,,,
ES0702050105,04S02S01,S,,,,,,,,
ES0702051603,03E02C12,N,,,,,,,,
ES0702051603,03E02B01,V,26.25,24.5,28,31.5,5.25,7,8.75,7
ES0702051603,03E02Q15,D,,,,,,,,
ES0702051603,03E02Q97,A,,,,,,,,
ES0702051603,03E02S01,S,,,,,,,,
ES0702050108,04S03C12,N,,,,,,,,
ES0702050108,04S03B01,V,327.75,305.9,349.6,393.3,65.55,87.4,109.25,87.4
ES0702050108,04A02Q03,D,,,,,,,,
ES0702050108,04S03Q97,A,,,,,,,,
ES0702050108,04S03S01,S,,,,,,,,
ES0702050305,03E03C12,N,,,,,,,,
ES0702050305,03E03B01,V,27,25.2,28.8,32.4,5.4,7.2,9,7.2
ES0702050305,03R04Q06,D,,,,,,,,
ES0702050305,03E03Q97,A,,,,,,,,
ES0702050305,03E03S01,S,,,,,,,,
ES0702052003,02E03C12,N,,,,,,,,
ES0702052003,02E03B01,V,16.5,15.4,17.6,19.8,3.3,4.4,5.5,4.4
ES0702052003,02E03Q08,D,,,,,,,,
ES0702052003,02E03Q97,A,,,,,,,,
ES0702052003,02E03S01,S,,,,,,,,
ES0703190002,07E01C12,N,,,,,,,,
ES0703190002,07E01B01,V,184.5,172.2,196.8,221.4,36.9,49.2,61.5,49.2
ES0703190002,07C08Q15,D,,,,,,,,
ES0703190002,07E01Q97,A,,,,,,,,
ES0703190002,07E01S01,S,,,,,,,,
ES0703190001,07E02C12,N,,,,,,,,
ES0703190001,07E02B01,V,9.75,9.1,10.4,11.7,1.95,2.6,3.25,2.6
ES0703190001,07E02Q08,D,,,,,,,,
ES0703190001,07E02Q97,A,,,,,,,,
ES0703190001,07E02S01,S,,,,,,,,
ES0702051902,02E02C12,N,,,,,,,,
ES0702051902,02E02B01,V,7.5,7,8,9,1.5,2,2.5,2
ES0702051902,02E02Q21,D,,,,,,,,
ES0702051902,02E02Q97,A,,,,,,,,
ES0702051902,02E02S01,S,,,,,,,,
ES0702050202,05E02C01,N,,,,,,,,
ES0702050202,05E02B01,V,9.75,9.1,10.4,11.7,1.95,2.6,3.25,2.6
ES0702050202,05E02Q01,D,,,,,,,,
ES0702050202,05E02Q97,A,,,,,,,,
ES0702050202,05E02S01,S,,,,,,,,
ES0702050204,05E03C12,N,,,,,,,,
ES0702050204,05E03B01,V,19.5,18.2,20.8,23.4,3.9,5.2,6.5,5.2
ES0702050204,05E03Q11,D,,,,,,,,
ES0702050204,05E03Q97,A,,,,,,,,
ES0702050204,05E03S01,S,,,,,,,,
ES0702050102,04E04C01,N,,,,,,,,
ES0702050102,04E04B01,V,4.5,4.2,4.8,5.4,0.9,1.2,1.5,1.2
ES0702050102,04E04Q05,D,,,,,,,,
ES0702050102,04E04Q97,A,,,,,,,,
ES0702050102,04E04S01,S,,,,,,,,
ES0702051102,04E06C01,N,,,,,,,,
ES0702051102,04E06B01,V,6.75,6.3,7.2,8.1,1.35,1.8,2.25,1.8
ES0702051102,04A01Q03,D,,,,,,,,
ES0702051102,04E06Q97,A,,,,,,,,
ES0702051102,04E06S01,S,,,,,,,,
