code,type,XETRS89,YETRS89,name
UDU01,urban,613992.92110556,4232290.00746287,MCT- Noroeste y Centro
UDU02,urban,640046.714731312,4229544.26597883,MCT- Vega Alta y otros
UDU03,urban,664199.189493402,4205648.37973653,MCT- Municipio de Murcia y zona del Mar Menor
UDU04,urban,679779.652233479,4217265.01335785,MCT- Alicante no Segura
UDU05,urban,720105.566581972,4247130.8501272,MCT- Alicante no Segura
UDU06,urban,614666.655254958,4170708.5288281,MCT- Zona de Lorca
UDU07,urban,648620.315925997,4162479.39886154,MCT- Mazarron-Campo de Cartagena Sur
UDU08,urban,645755.803572684,4259802.59873142,Altiplano
UDU09,urban,613138.866472267,4263440.83127377,Hellin
UDU10,urban,559494.84651376,4246740.52864901,Cabecera del Segura
UDU11,urban,550836.099966814,4261331.96082065,Cabecera del Mundo
UDU12,urban,581150.443961687,4167391.52025563,Cabecera del Guadalentin
UDU13,urban,671032.548841224,4252412.06317015,Serral-Salinas
UDU14,urban,611053.161181549,4141324.26338978,Galasa
