demand_unit_code,year,water_demand
UDA01,2012,14523841.844
UDA02,2012,19211227.957
UDA03,2012,24647387.666
UDA04,2012,15595562.884
UDA05,2012,7891798.338
UDA06,2012,852702.412
UDA07,2012,57432016.614
UDA08,2012,3679980.392
UDA09,2012,3518251.797
UDA10,2012,18024158.11
UDA11,2012,17832580.169
UDA12,2012,12009656.052
UDA13,2012,5549121.569
UDA14,2012,1548443.599
UDA15,2012,6052415.301807
UDA16,2012,9215188.98936942
UDA17,2012,6369187.1108213
UDA18,2012,4187075.23024077
UDA20,2012,15168764.8095615
UDA21,2012,4527297.80748351
UDA22,2012,44869005.1841136
UDA25,2012,17319925.7651558
UDA26,2012,16375308.1221572
UDA27,2012,5065372.81685038
UDA28,2012,20963778.7993846
UDA29,2012,3522369.33426271
UDA30,2012,5443894.37251955
UDA31,2012,21863294.0279429
UDA32,2012,54736491.3376532
UDA34,2012,5063074.29703623
UDA36,2012,8448107.61326232
UDA37,2012,21364157.3893582
UDA38,2012,14338547.4057205
UDA39,2012,32243407.6929413
UDA40,2012,13092313.9695882
UDA41,2012,4329790.96433895
UDA42,2012,3927807.34592186
UDA43,2012,2937819.02906325
UDA44,2012,8128352.86262384
UDA45,2012,18083531.2980597
UDA46,2012,105395255.274268
UDA48,2012,11567193.9792871
UDA51,2012,9115749.44951536
UDA52,2012,17242831.7716865
UDA53,2012,59539773.3481759
UDA55,2012,3152629.15430992
UDA56,2012,57945340.7417354
UDA57,2012,87251463.7799083
UDA58,2012,131798187.011388
UDA60,2012,11057720.4226898
UDA61,2012,46642706.6450149
UDA63,2012,54405309.0504441
UDA64,2012,56866371.7402742
UDA65,2012,68737268.5952196
UDA66,2012,6634310.11220334
UDA67,2012,29611597.6044616
UDA68,2012,27926669.2723247
UDA69,2012,25074464.0621596
UDA71,2012,14098408.6440315
UDA72,2012,43076688.0160842
UDA73,2012,10517918.3341767
UDA75,2012,39447244.4458183
UDA54,2012,45700000
UDA70,2012,13100000
UDA01,2015,14523841.844
UDA02,2015,19211227.957
UDA03,2015,24647387.666
UDA04,2015,15595562.884
UDA05,2015,7891798.338
UDA06,2015,852702.412
UDA07,2015,57432016.614
UDA08,2015,3679980.392
UDA09,2015,3518251.797
UDA10,2015,18024158.11
UDA11,2015,17832580.169
UDA12,2015,12009656.052
UDA13,2015,5549121.569
UDA14,2015,1548443.599
UDA15,2015,6052415.301807
UDA16,2015,9215188.98936942
UDA17,2015,6369187.1108213
UDA18,2015,4187075.23024077
UDA20,2015,15168764.8095615
UDA21,2015,4527297.80748351
UDA22,2015,44869005.1841136
UDA25,2015,17319925.7651558
UDA26,2015,16375308.1221572
UDA27,2015,5065372.81685038
UDA28,2015,20963778.7993846
UDA29,2015,3522369.33426271
UDA30,2015,5443894.37251955
UDA31,2015,21863294.0279429
UDA32,2015,54736491.3376532
UDA34,2015,5063074.29703623
UDA36,2015,8448107.61326232
UDA37,2015,21364157.3893582
UDA38,2015,14338547.4057205
UDA39,2015,32243407.6929413
UDA40,2015,13092313.9695882
UDA41,2015,4329790.96433895
UDA42,2015,3927807.34592186
UDA43,2015,2937819.02906325
UDA44,2015,8128352.86262384
UDA45,2015,18083531.2980597
UDA46,2015,105395255.274268
UDA48,2015,11567193.9792871
UDA51,2015,9115749.44951536
UDA52,2015,17242831.7716865
UDA53,2015,59539773.3481759
UDA55,2015,3152629.15430992
